group,sample1,sample2,label
train,PV/cold/38_0.jpg,PV/cold/38_1.jpg,0
train,PV/cold/38_1.jpg,PV/cold/38_2.jpg,0
train,PV/cold/38_2.jpg,PV/cold/38_3.jpg,0
train,PV/cold/38_3.jpg,PV/cold/38_4.jpg,0
train,PV/cold/38_4.jpg,PV/cold/38_5.jpg,0
train,PV/cold/38_5.jpg,PV/cold/38_6.jpg,0
train,PV/cold/38_6.jpg,PV/cold/38_7.jpg,0
train,PV/cold/38_7.jpg,PV/cold/38_8.jpg,0
train,PV/cold/38_8.jpg,PV/cold/38_9.jpg,0
train,PV/cold/38_9.jpg,PV/cold/38_10.jpg,0
train,PV/cold/38_10.jpg,PV/cold/38_11.jpg,0
train,PV/cold/38_11.jpg,PV/cold/38_12.jpg,0
train,PV/cold/38_12.jpg,PV/cold/38_13.jpg,0
train,PV/cold/38_13.jpg,PV/cold/38_14.jpg,0
train,PV/cold/38_14.jpg,PV/normal/38_0.jpg,0
train,PV/normal/38_0.jpg,PV/normal/38_1.jpg,0
train,PV/normal/38_1.jpg,PV/normal/38_2.jpg,0
train,PV/normal/38_2.jpg,PV/normal/38_3.jpg,0
train,PV/normal/38_3.jpg,PV/normal/38_4.jpg,0
train,PV/normal/38_4.jpg,PV/normal/38_5.jpg,0
train,PV/normal/38_5.jpg,PV/normal/38_6.jpg,0
train,PV/normal/38_6.jpg,PV/normal/38_7.jpg,0
train,PV/normal/38_7.jpg,PV/normal/38_8.jpg,0
train,PV/normal/38_8.jpg,PV/normal/38_9.jpg,0
train,PV/normal/38_9.jpg,PV/normal/38_10.jpg,0
train,PV/normal/38_10.jpg,PV/normal/38_11.jpg,0
train,PV/normal/38_11.jpg,PV/normal/38_12.jpg,0
train,PV/normal/38_12.jpg,PV/normal/38_13.jpg,0
train,PV/normal/38_13.jpg,PV/normal/38_14.jpg,0
train,PV/normal/38_14.jpg,PV/cold/38_0.jpg,0
train,PV/cold/24_0.jpg,PV/cold/24_1.jpg,1
train,PV/cold/24_1.jpg,PV/cold/24_2.jpg,1
